key,Intake_X,Intake_Y,Release_X,Release_Y,Has_Secondary_Intake_Cell,    Secondary_Intake_X,Secondary_Intake_Y,Max_Storage,Storage,        Min_Release_Storage,Release_Rate
reservoir_0,3365.0,2535.0,3375.0,2535.0,-1,-1,-1,10000,5000,0,0
reservoir_1,4545.0,4795.0,4555.0,4795.0,-1,-1,-1,10000,5000,0,0
reservoir_2,4065.0,3175.0,4075.0,3175.0,-1,-1,-1,10000,5000,0,0
reservoir_3,3965.0,2005.0,3975.0,2005.0,-1,-1,-1,10000,5000,0,0
reservoir_4,685.0,3635.0,695.0,3635.0,-1,-1,-1,10000,5000,0,0
reservoir_5,315.0,2375.0,325.0,2375.0,-1,-1,-1,10000,5000,0,0
reservoir_6,3935.0,3065.0,3945.0,3065.0,-1,-1,-1,10000,5000,0,0
reservoir_7,1195.0,3885.0,1205.0,3885.0,-1,-1,-1,10000,5000,0,0
reservoir_8,4815.0,1165.0,4825.0,1165.0,-1,-1,-1,10000,5000,0,0
reservoir_9,1585.0,4565.0,1595.0,4565.0,-1,-1,-1,10000,5000,0,0
reservoir_10,3675.0,3865.0,3685.0,3865.0,-1,-1,-1,10000,5000,0,0
reservoir_11,4955.0,2865.0,4965.0,2865.0,-1,-1,-1,10000,5000,0,0
reservoir_12,2885.0,1265.0,2895.0,1265.0,-1,-1,-1,10000,5000,0,0
reservoir_13,1935.0,1645.0,1945.0,1645.0,-1,-1,-1,10000,5000,0,0
reservoir_14,3585.0,4645.0,3595.0,4645.0,-1,-1,-1,10000,5000,0,0
reservoir_15,1145.0,3475.0,1155.0,3475.0,-1,-1,-1,10000,5000,0,0
reservoir_16,1475.0,3875.0,1485.0,3875.0,-1,-1,-1,10000,5000,0,0
reservoir_17,2695.0,875.0,2705.0,875.0,-1,-1,-1,10000,5000,0,0
reservoir_18,3515.0,4815.0,3525.0,4815.0,-1,-1,-1,10000,5000,0,0
reservoir_19,595.0,4765.0,605.0,4765.0,-1,-1,-1,10000,5000,0,0
reservoir_20,4275.0,4045.0,4285.0,4045.0,-1,-1,-1,10000,5000,0,0
reservoir_21,2105.0,1275.0,2115.0,1275.0,-1,-1,-1,10000,5000,0,0
reservoir_22,4755.0,1235.0,4765.0,1235.0,-1,-1,-1,10000,5000,0,0
reservoir_23,1525.0,4635.0,1535.0,4635.0,-1,-1,-1,10000,5000,0,0
reservoir_24,3755.0,3255.0,3765.0,3255.0,-1,-1,-1,10000,5000,0,0
reservoir_25,2595.0,4845.0,2605.0,4845.0,-1,-1,-1,10000,5000,0,0
reservoir_26,3895.0,3235.0,3905.0,3235.0,-1,-1,-1,10000,5000,0,0
reservoir_27,705.0,4115.0,715.0,4115.0,-1,-1,-1,10000,5000,0,0
reservoir_28,4865.0,2275.0,4875.0,2275.0,-1,-1,-1,10000,5000,0,0
reservoir_29,3105.0,3375.0,3115.0,3375.0,-1,-1,-1,10000,5000,0,0
reservoir_30,1035.0,1775.0,1045.0,1775.0,-1,-1,-1,10000,5000,0,0
reservoir_31,2855.0,2675.0,2865.0,2675.0,-1,-1,-1,10000,5000,0,0
reservoir_32,3375.0,755.0,3385.0,755.0,-1,-1,-1,10000,5000,0,0
reservoir_33,4775.0,3055.0,4785.0,3055.0,-1,-1,-1,10000,5000,0,0
reservoir_34,1915.0,3285.0,1925.0,3285.0,-1,-1,-1,10000,5000,0,0
reservoir_35,2395.0,475.0,2405.0,475.0,-1,-1,-1,10000,5000,0,0
reservoir_36,3525.0,965.0,3535.0,965.0,-1,-1,-1,10000,5000,0,0
reservoir_37,4215.0,4115.0,4225.0,4115.0,-1,-1,-1,10000,5000,0,0
reservoir_38,1025.0,2255.0,1035.0,2255.0,-1,-1,-1,10000,5000,0,0
reservoir_39,615.0,105.0,625.0,105.0,-1,-1,-1,10000,5000,0,0
reservoir_40,4515.0,2835.0,4525.0,2835.0,-1,-1,-1,10000,5000,0,0
reservoir_41,3995.0,3065.0,4005.0,3065.0,-1,-1,-1,10000,5000,0,0
reservoir_42,1135.0,3295.0,1145.0,3295.0,-1,-1,-1,10000,5000,0,0
reservoir_43,4265.0,445.0,4275.0,445.0,-1,-1,-1,10000,5000,0,0
