key,Intake_X,Intake_Y,Release_X,Release_Y,Has_Secondary_Intake_Cell,    Secondary_Intake_X,Secondary_Intake_Y,Max_Storage,Storage,        Min_Release_Storage,Release_Rate
reservoir_0,2145.0,1105.0,2155.0,1105.0,-1,-1,-1,10000,5000,0,10
reservoir_1,255.0,4805.0,265.0,4805.0,-1,-1,-1,10000,5000,0,10
reservoir_2,685.0,3635.0,695.0,3635.0,-1,-1,-1,10000,5000,0,10
reservoir_3,3875.0,1065.0,3885.0,1065.0,-1,-1,-1,10000,5000,0,10
reservoir_4,2075.0,1275.0,2085.0,1275.0,-1,-1,-1,10000,5000,0,10
reservoir_5,1435.0,2635.0,1445.0,2635.0,-1,-1,-1,10000,5000,0,10
reservoir_6,3665.0,1255.0,3675.0,1255.0,-1,-1,-1,10000,5000,0,10
reservoir_7,1225.0,2825.0,1235.0,2825.0,-1,-1,-1,10000,5000,0,10
reservoir_8,1865.0,1465.0,1875.0,1465.0,-1,-1,-1,10000,5000,0,10
reservoir_9,4965.0,2385.0,4975.0,2385.0,-1,-1,-1,10000,5000,0,10
reservoir_10,3375.0,4125.0,3385.0,4125.0,-1,-1,-1,10000,5000,0,10
reservoir_11,1155.0,1305.0,1165.0,1305.0,-1,-1,-1,10000,5000,0,10
reservoir_12,2865.0,4585.0,2875.0,4585.0,-1,-1,-1,10000,5000,0,10
reservoir_13,2645.0,115.0,2655.0,115.0,-1,-1,-1,10000,5000,0,10
reservoir_14,1815.0,1545.0,1825.0,1545.0,-1,-1,-1,10000,5000,0,10
reservoir_15,3095.0,1075.0,3105.0,1075.0,-1,-1,-1,10000,5000,0,10
reservoir_16,1085.0,1475.0,1095.0,1475.0,-1,-1,-1,10000,5000,0,10
reservoir_17,3735.0,1435.0,3745.0,1435.0,-1,-1,-1,10000,5000,0,10
reservoir_18,2585.0,4945.0,2595.0,4945.0,-1,-1,-1,10000,5000,0,10
reservoir_19,3025.0,2965.0,3035.0,2965.0,-1,-1,-1,10000,5000,0,10
